sample,D_angle,D_position,bottom_internal_pull_strength,bottom_morse_cutoff,bottom_morse_u0,bottom_morse_v0,bottom_morse_xi1,bottom_morse_xi2,cil_intensity,cil_wall_intensity,run_speed_min,run_to_tumble_rate_max,run_to_tumble_rate_min,theta_alignment,top_internal_pull_strength,top_morse_cutoff,top_morse_u0,top_morse_v0,top_morse_xi1,top_morse_xi2,tumble_to_run_rate_max,tumble_to_run_rate_min,cohesion_rg,penetration,front_x,pareto
36,0.121543368557991,0.06968156769475992,0.2812065671115138,31.097274839307136,18.774815637055198,18.759611054926015,14.714383145639024,75.4041293912904,0.06372175409304445,0.030076351008343914,49.11694003252621,0.3935947525810367,0.04574448534247,1.5716780801477541,2.743083946206165,73.15818730142024,116.54507384018851,51.012771501063014,4.329513115314938,19.18614025745905,2.9252623817105325,1.1291900092717984,373.4250980445189,421.61867655520746,994.540690241769,false
37,0.176413613027765,0.07526391870634383,3.6553042933703495,91.36278295561684,14.567748998749204,17.765205443843094,17.948824940617172,70.53168834997942,0.03576480978888269,0.0418770505565012,32.65049355178928,0.8077496346671686,0.008287836277226587,2.8944301992818238,2.137705304554678,66.58024697583227,97.28289229721214,33.88886242268657,7.325455066089359,56.292554643298345,3.191642415206087,0.2583987897366564,16.224880833210033,16.107961277418845,143.77466939984706,false
38,0.015634890677859364,0.09549108039592552,3.710661726833452,92.58025968828575,21.438287422618828,11.351163748201198,3.1828859788439354,44.5910338448234,0.011527957273424266,0.05502346803765064,39.69527037508814,0.4093651561026759,0.041600740384164656,2.7637561296468913,2.270360445469583,89.17302440204023,76.65374677350512,16.13494090553202,4.543112961484729,16.385949243339372,2.0720059673869438,0.8162309754272125,12.567070005319936,-9.010850329284608,110.90198414625483,false
39,0.07051139139178017,0.07695324329448781,3.860945849296008,61.569615966957585,15.947468213993538,19.038502896824863,12.522296530377295,93.7479968765375,0.05149129725696857,0.049485049928860346,54.15599986508012,0.32627839072874976,0.05450061677333951,3.2733717364925115,1.4367745570124177,79.92765305973899,61.709835714439194,46.15814255249256,13.556767626903595,40.44875764279874,1.6007676444582497,1.3576508165105952,25.01088052984959,12.467034905142071,142.50259975209647,false
40,0.1775046809686113,0.005368375294762688,0.7520191122987914,55.746990674693265,17.559570657766553,16.69649339126449,13.246266594124833,70.89072067650307,0.02442602838399954,0.05955276193518635,61.90150726072568,0.1971185316930774,0.18407599207959133,6.778935430343191,0.9158320727320954,51.577191486176176,110.92824531224446,31.599788090842075,11.444631454651951,30.185763011818885,1.7769518686726484,0.3864740099402076,59.09494769582639,11.404753616053902,193.37783717827446,false
41,0.12180718009550126,0.09114960041916163,1.7808542657011417,96.76370232863599,5.865406337928586,10.109777122761074,6.375549115256028,34.24744331319806,0.07924536745615884,0.03978146619711196,19.089429875268713,0.8945039728312726,0.16836227047784635,1.110680015998589,1.9621446755945846,97.3236970964855,78.4526522012162,22.50846638184875,8.68077903441548,55.13595518387538,1.9181774024507088,0.7740049319925486,NaN,NaN,NaN,false
42,0.059300289982152116,0.04207827345591518,0.8428456639372306,109.17168723815797,16.498739386272124,8.491455227759332,22.527762365905588,95.95056437810142,0.028115727453622386,0.002814808750759115,68.22571735777882,0.6361092030112738,0.05167258550850012,1.0144426123704335,3.3356031584446266,99.8253933906082,64.54711180422449,10.392717116649278,5.771971437973422,52.7807284632364,3.6752250504381796,0.7326143703586391,33.940246792575664,7.2545771277592195,141.39554252693753,false
43,0.13144406179215898,0.04877926738569279,2.3157558077977365,94.9234069559599,15.15047284759198,6.133383830100043,14.518464402020138,82.18752970632409,0.007725476320797169,0.002535869623614122,38.99317936012686,0.6014522768433743,0.09529609473346536,1.327400785584901,2.7125904070890545,88.30215228497808,91.15616380531266,15.847712696855329,13.382615678770858,42.090736713963736,2.402078168780633,0.40146670304331433,34.42788632034144,57.78703836023413,193.4353668093222,true
44,0.07113095032509884,0.11195545440168667,2.6157848837255546,30.71671893878234,4.471464762345681,6.820390770625596,24.75097382097338,65.67287489960123,0.05865578387036341,0.07295668782715967,35.586443826698456,0.42294489037297767,0.02676980932410602,6.8262549141581434,0.227010138398692,87.60629701976987,16.64399041143578,36.793060441061066,2.8328585647191686,56.40606981137934,1.426979382045463,0.6091950985696757,NaN,NaN,NaN,false
45,0.017738130091547788,0.053429353534033074,3.7823667790725057,61.92420944907795,19.750294046501313,2.6106213389614394,5.780512212704438,40.515171943737236,0.0001634264155645937,0.06808949420702609,21.040541091242822,1.0626408903911078,0.11861679889502294,6.38704969531943,2.434608843888733,94.34542024922389,110.37934332079782,55.41453344647397,9.888525895700365,42.385885121084556,2.263000630507996,0.30148843706445083,25.26600882677642,10.916485957438887,144.87663526059953,false
46,0.042217461015960245,0.0834006766382429,0.6515075705285498,55.614836803652274,25.04652930788288,9.101057034146793,16.996501714456087,49.77963821773664,0.03373737275299783,0.07011636565455116,45.13729306597817,1.0682798789767223,0.188326772430122,5.759915343182174,0.5600236047993588,51.087083628026065,37.897820474720845,15.784944487163731,14.23313124348647,81.42526906248558,1.1827051406487987,0.5537650067149402,150.58005480968984,82.22329740272416,502.54057578909794,false
47,0.08263053487962688,0.11014683011082034,0.14782615606207283,47.41688617576199,5.797341970643792,10.318111879580286,21.77878163668907,29.85562416526525,0.034345947267052854,0.01648481146078007,61.23443929996193,0.9052388983182664,0.02867464164900779,5.1420619193402075,3.0510241341582467,70.39896861197414,102.26929422159579,28.169334303120344,3.3072424930253623,70.8301282286983,3.275846993676381,1.3757355601230619,344.84939111599476,536.5525300020629,994.4919175715062,false
48,0.1847304833440243,0.10556162846133026,1.4000763108064112,92.25314479891126,8.651411341277395,18.067830629274233,14.871482377418756,65.75761725477241,0.05584933742769776,0.0628150967270994,68.61671456357206,0.7380798820964554,0.13813652619055775,0.19896428212386708,3.8940256701185803,72.91134852318072,22.39153217104308,37.27191854862274,4.663569768302464,68.77435224894023,1.07248107850891,0.6575197317542398,NaN,NaN,NaN,false
49,0.2385309199704956,0.052704782522079933,0.7329498771215062,81.62112788585635,18.899648108622582,15.006727143746732,21.57988147012405,51.974480979658566,0.04732198618845852,0.0543816164607187,65.02061789304862,0.9117733038275057,0.011281804464334272,2.410785458815409,0.8178933038825198,81.37351285580311,53.05925420755037,42.23060931787931,10.462991425965535,68.09537036397562,3.1807057380498023,1.4665939227023517,21.906293947015456,41.21878486560311,165.13109888476345,false
50,0.03350250243220845,0.016052266320793967,1.0290451301774102,109.79655622566628,21.222557730115323,3.969512843900546,10.460027806193366,31.87695151607845,0.04931893415557168,0.010532400730745276,53.76854207334806,0.38030029656380016,0.04762001363192071,4.209411681504726,3.5794849477874626,53.42353770104772,113.5644114665672,44.731799969072334,5.6770671249648315,62.36693581572699,3.142728056802022,1.2766596951851976,70.98970268372045,48.94275173661978,251.70827165773483,false
51,0.07775855301289322,0.08777624680528341,0.1394833607366337,49.083074816199634,15.304924635790321,18.054613767736374,10.977497176563656,40.44230587559401,0.07884616970862189,0.058871237773444655,17.725978176293346,0.7931519750615749,0.12521650173466722,0.9381285508594138,2.629690854692645,60.13369596928639,22.259428354042413,59.17441246114524,10.744485248516504,78.33773414601634,1.1281482825501694,0.532296416323426,NaN,NaN,NaN,false
52,0.09668006370067694,0.059068766160852396,3.7942286305268276,48.48528043089378,14.867945618096929,10.52167382803577,11.098840447983738,24.631200500563565,0.0474769404684254,0.05414814942707688,68.16330821238003,1.0764962324952507,0.08587015048955011,2.5497063606974124,1.59903591177941,70.31971850953376,70.7270953557821,57.904182934743375,6.014950646734331,27.027396754936028,1.6504842481740156,1.2437048940966087,27.78592494072729,7.262938898468676,143.15363935227737,false
53,0.009453328481031975,0.11345408993217466,3.1843801466717108,31.594974797926263,8.401735356598426,12.546935672428564,12.315532248812817,29.03460753802313,0.06318863380585692,0.06299604974326141,61.69620666726056,1.1990300409433212,0.15706527584254956,2.817928599220479,1.754670811231826,68.68986085966873,109.50777293390334,33.801776100513365,13.089911140728018,41.58883300952007,3.487464823847964,0.9193952886885708,28.008047855975846,15.080860424447444,148.72079260063578,false
54,0.1246699270762669,0.012193529413773855,3.147646747811998,73.14606157158914,15.370389927272935,16.497807662235882,20.92583065740583,99.29387210804171,0.04471599717312552,0.0642788033326653,48.05147034758263,0.1576258077511279,0.15445293369268204,3.8543210727926445,2.8466203907852528,81.4121898969307,39.642453587759896,14.00526520769138,11.369893137231141,37.48031161136461,1.6758759936992327,0.847611585713815,38.9089765879599,9.078886910642524,151.64658203351848,false
