time,cell_id,bottom_x,bottom_y,top_x,top_y
189,1,628.8121933320294,899.9726654474819,638.6197736180362,898.0210996405365
190,1,628.8091937978745,900.0295816143499,638.5959437303179,897.9617022271826
191,1,628.8070235746952,900.0918633229137,638.5768273519949,897.8932948742578
192,1,628.8083956929522,900.1536291086315,638.5593330896377,897.8259427493612
193,1,628.8135218630067,900.2190178229607,638.5416587682518,897.7721307033232
194,1,628.8281668136716,900.2800170291425,638.5183011504436,897.7268254192439
195,1,628.8401072890786,900.3412148071646,638.4904765801252,897.6809454596074
196,1,628.8502030018429,900.4064102864367,638.4613806251574,897.6337288017979
197,1,628.8546539493517,900.4616888938307,638.4333527844616,897.5921592539402
198,1,628.8565582243505,900.5188581578547,638.4069481213479,897.5524042620709
199,1,628.8571647538676,900.5749382393356,638.3807257576979,897.5128701103683
200,1,628.8511564309248,900.6332077183279,638.3552578417045,897.4659285502739
201,1,628.8470377740849,900.6829074806968,638.3235791909703,897.415308224398
202,1,628.8532707380397,900.7368725349818,638.2887294827689,897.3613082177708
203,1,628.8583075098079,900.7883514567611,638.2601913891161,897.307965113227
204,1,628.8639393334222,900.8308785716232,638.2235539788895,897.2618541356474
205,1,628.866539987437,900.8794470777362,638.1871375057717,897.2160437578575
206,1,628.8680119446057,900.9294457151976,638.1513926088496,897.1727067369574
207,1,628.8675618228286,900.9824738001731,638.1149207724416,897.1293592927985
208,1,628.8670404006177,901.0327738127337,638.0751274187609,897.0920322511934
209,1,628.8759918825839,901.0916235317848,638.0416515737084,897.0581765483696
210,1,628.889848187661,901.1586148497228,638.0115671057283,897.0284963168855
211,1,628.8989112789047,901.2328043640327,637.9785041378162,896.9957147400627
212,1,628.9178996483483,901.306766440903,637.9404665480196,896.9599498113264
213,1,628.943331201762,901.3818007665825,637.8995353479351,896.9320042466002
214,1,628.9700109033671,901.4547593029423,637.8610928237844,896.898288051793
215,1,628.9958344689504,901.528201215808,637.8254232686779,896.8633616895379
216,1,629.0164894466485,901.6031011010482,637.7923432312867,896.8249968970965
217,1,629.0406364042731,901.6638125506574,637.751264613873,896.7836203754298
218,1,629.0598184691452,901.72021230593,637.7162533731603,896.744661272956
219,1,629.0837353010727,901.7802803587482,637.6753105947197,896.7009819269325
220,1,629.1003869784877,901.8436037170472,637.6429805313765,896.656489312352
221,1,629.1229486759376,901.9113426694709,637.5958555553658,896.6164374309556
222,1,629.1415217581691,901.9834402491164,637.5503078877141,896.5710696910224
223,1,629.1615607490687,902.0528397627374,637.5051637733573,896.5244368153852
224,1,629.1783655287445,902.1193777460757,637.4602731863749,896.4743487065899
225,1,629.1955573036383,902.1889100391646,637.4179369979516,896.4227910018038
226,1,629.2170637617032,902.2657300010023,637.3717303965311,896.3722583838642
227,1,629.2397692020835,902.3418880309375,637.3207107036418,896.3244426459642
228,1,629.2684724705432,902.4171271280564,637.2574953701304,896.2801063966242
229,1,629.3009668159575,902.4913266533624,637.1797072127553,896.2361825456259
230,1,629.3408555703805,902.5508009256536,637.0987718061326,896.2008365470047
231,1,629.3813679971837,902.6118102358173,637.0118343513643,896.1650271052473
232,1,629.4175411501083,902.6845994382448,636.9331213142785,896.1284570742228
233,1,629.4512789773707,902.7727543734862,636.8580057634699,896.0795777168955
234,1,629.48262492645,902.8551915658787,636.7795623255936,896.0372127720545
235,1,629.5115387371651,902.9393891162789,636.6950904010862,895.987037500528
236,1,629.5437577167121,903.0128773309746,636.6051847160496,895.9404152522641
237,1,629.5824396215762,903.0881462216769,636.5212697101961,895.8925424588859
238,1,629.6189144168952,903.158456645806,636.4409934755122,895.8385971325143
239,1,629.6622486797535,903.2297906883554,636.3634012416593,895.7877474357381
240,1,629.7112804110345,903.3017830146597,636.292266491408,895.7335986546727
241,1,629.7555026522821,903.3706590656187,636.2044173621216,895.680841845875
242,1,629.801383087285,903.4374591258849,636.1224230412764,895.6293933904217
243,1,629.847497613317,903.5020127902856,636.0316679492712,895.5901803907336
244,1,629.9016390672252,903.5636015510557,635.9383251417452,895.5549995213202
245,1,629.950652782191,903.6240655817314,635.8387248731176,895.5182757569348
246,1,629.997697040893,903.6751898535645,635.741961510791,895.4869822172326
247,1,630.0468725799683,903.7195143267307,635.6462773209914,895.4570037980043
248,1,630.0932703090036,903.7776697731729,635.5591936750221,895.4203569221924
